box,sample,type,mapping,rep,filename,corr_to_sample_median,auc,peak_base_ratio,smooth_d2_std,auc_z,pbr_z,smooth_z,corr_z,spectrum_qc,keep,mapping_failed,sample_failed
Box1-2,AdCo_001,Control,1,1,AdCo_001_Map1_10%_10Vis_20sec+10sec_15accm.txt,0.999961455212447,19742862.725155,4.036628880825222,172.21851243578922,1.390492708163975,1.577318382420824,1.336656449105948,0.7231608559211636,Good,True,False,False
Box1-2,AdCo_001,Control,1,2,AdCo_001_Map1_10%_10Vis_20sec+10sec_15accm.txt,0.9999643959613909,18693159.60326,3.907240527948705,157.32437188187657,1.2405841632826518,1.4050368978077192,1.1216600303655966,0.7239506931101743,Good,True,False,False
Box1-2,AdCo_001,Control,1,3,AdCo_001_Map1_10%_10Vis_20sec+10sec_15accm.txt,0.9999949166016507,19625845.622984998,4.013866870020668,169.89617316095024,1.373781446525669,1.547010607980488,1.303133559659381,0.7321480391500529,Good,True,False,False
Box1-2,AdCo_001,Control,2,1,AdCo_001_Map2_10%_10Vis_20sec+10sec_15accm.txt,0.9986660978183881,12775396.576985,4.066424433912584,111.7187043932095,0.39546593345412445,1.6169913669409854,0.4633437516360438,0.37524899319480515,Good,True,False,False
Box1-2,AdCo_001,Control,2,2,AdCo_001_Map2_10%_10Vis_20sec+10sec_15accm.txt,0.9990718814226573,13007026.923870001,3.9909178617070156,111.66326047370973,0.42854516083529254,1.5164538450665357,0.46254342051990904,0.48423584907923894,Good,True,False,False
Box1-2,AdCo_001,Control,2,3,AdCo_001_Map2_10%_10Vis_20sec+10sec_15accm.txt,0.9993605869349992,13740639.130475,4.019551441589767,117.04094649167772,0.5333126289940969,1.5545796542473378,0.5401701376029201,0.561777439561451,Good,True,False,False
Box1-2,AdCo_001,Control,3,1,AdCo_001_Map3_10%_10Vis_20sec+10sec_15accm.txt,0.9998558846845403,21964199.748869997,4.030833183711849,194.7779271386444,1.7077227839543316,1.5696013717250255,1.6623008427811614,0.6948063344729122,Good,True,False,False
Box1-2,AdCo_001,Control,3,2,AdCo_001_Map3_10%_10Vis_20sec+10sec_15accm.txt,0.9999505175986227,20430640.407275,3.9550118364614253,177.42119030714295,1.4887145285795684,1.4686447247064556,1.4117569294694747,0.7202231912914537,Good,True,False,False
Box1-2,AdCo_001,Control,3,3,AdCo_001_Map3_10%_10Vis_20sec+10sec_15accm.txt,0.9999511644036825,20681415.64034,3.9817874506229094,178.56717269331386,1.5245278452182605,1.5042966397097368,1.4282991467309833,0.7203969125780926,Good,True,False,False
Box1-2,AdCo_002,Control,1,1,AdCo_002_Map1_10%_10Vis_20sec+10sec_15acc.txt,0.9995022210260118,19914318.03047,3.784950670004416,169.13964733976866,1.4149783125180466,1.2422071081753054,1.2922131348352768,0.5998180456951472,Good,True,False,False
Box1-2,AdCo_002,Control,1,2,AdCo_002_Map1_10%_10Vis_20sec+10sec_15acc.txt,0.9998706926078432,18573231.219445,3.706548727498447,148.31393458314858,1.2234571402866457,1.1378143807683,0.9915946705350756,0.6987835010858056,Good,True,False,False
Box1-2,AdCo_002,Control,1,3,AdCo_002_Map1_10%_10Vis_20sec+10sec_15acc.txt,0.9999049591709169,18547805.20474,3.725983323559939,152.71700390521985,1.2198260404194021,1.1636916795196435,1.0551528283411096,0.7079869408800135,Good,True,False,False
Box1-2,AdCo_002,Control,2,1,AdCo_002_Map2_10%_10Vis_20sec+10sec_15acc.txt,0.9968109273765576,21743692.26031,3.508462025023526,179.90881883042414,1.6762320166545366,0.8740605696577832,1.4476657636667798,-0.12301952100244819,Good,True,False,False
Box1-2,AdCo_002,Control,2,2,AdCo_002_Map2_10%_10Vis_20sec+10sec_15acc.txt,0.9983414442380728,21928834.840985,3.3892234540490627,168.56944166287346,1.7026723065666574,0.7152935896790624,1.2839822350371892,0.28805233813549236,Good,True,False,False
